Index Coding (Basic Antidotes, random) Log File
2012/09/12 14:57:38

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	15	9	0.35417	[[ 0.542  0.375  0.25   0.125  0.292  0.292  0.667  0.292]]
8	4	11	83	0.26729	[[ 0.915  0.16   0.181  0.128  0.17   0.149  0.223  0.213]]
8	4	10	8	0.22917	[[ 0.444  0.167  0.111  0.111  0.278  0.056  0.111  0.556]]
8	4	12	14	0.37981	[[ 0.692  0.346  0.154  0.423  0.308  0.269  0.423  0.423]]
8	4	9	10	0.30263	[[ 0.579  0.211  0.158  0.316  0.316  0.211  0.316  0.316]]
8	4	11	11	0.32955	[[ 0.455  0.364  0.091  0.227  0.5    0.136  0.409  0.455]]
8	4	16	12	0.39286	[[ 0.571  0.464  0.214  0.393  0.571  0.214  0.429  0.286]]
8	4	15	51	0.27841	[[ 0.848  0.212  0.045  0.182  0.318  0.136  0.273  0.212]]
8	4	14	15	0.32759	[[ 0.552  0.276  0.241  0.276  0.552  0.069  0.276  0.379]]
8	4	18	12	0.39167	[[ 0.767  0.367  0.333  0.433  0.467  0.1    0.367  0.3  ]]
8	4	12	14	0.34615	[[ 0.423  0.231  0.346  0.423  0.423  0.077  0.423  0.423]]
8	4	12	10	0.46023	[[ 0.5    0.591  0.273  0.318  0.455  0.545  0.5    0.5  ]]
