Index Coding (Basic Antidotes) Log File
2012/10/12 11:36:04

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	22	7	0.43103	[[ 0.552  0.517  0.448  0.172  0.207  0.379  0.586  0.586]]
8	4	11	15	0.27404	[[ 0.385  0.231  0.308  0.077  0.038  0.346  0.423  0.385]]
8	4	14	8	0.34091	[[ 0.636  0.273  0.318  0.136  0.227  0.318  0.455  0.364]]
8	4	16	8	0.30729	[[ 0.292  0.333  0.333  0.125  0.167  0.458  0.375  0.375]]
8	4	16	9	0.28000	[[ 0.44  0.28  0.24  0.04  0.08  0.28  0.4   0.48]]
8	4	16	11	0.39815	[[ 0.407  0.407  0.296  0.259  0.333  0.333  0.556  0.593]]
8	4	11	8	0.32895	[[ 0.421  0.158  0.474  0.105  0.105  0.421  0.316  0.632]]
8	4	20	7	0.32407	[[ 0.296  0.296  0.296  0.185  0.296  0.407  0.333  0.481]]
8	4	13	11	0.33854	[[ 0.208  0.375  0.333  0.333  0.167  0.417  0.5    0.375]]
8	4	10	8	0.28472	[[ 0.556  0.222  0.333  0.111  0.222  0.278  0.278  0.278]]
8	4	10	9	0.30263	[[ 0.316  0.158  0.368  0.316  0.316  0.158  0.526  0.263]]
8	4	13	19	0.32812	[[ 0.406  0.281  0.406  0.281  0.312  0.188  0.469  0.281]]
8	4	12	7	0.31579	[[ 0.368  0.368  0.421  0.263  0.211  0.263  0.368  0.263]]
8	4	14	7	0.29762	[[ 0.381  0.143  0.238  0.095  0.286  0.238  0.619  0.381]]
8	4	14	7	0.40476	[[ 0.476  0.286  0.476  0.238  0.524  0.286  0.571  0.381]]
8	4	13	11	0.27604	[[ 0.292  0.375  0.333  0.125  0.25   0.083  0.458  0.292]]
#try circular
8	4	12	7	0.27632	[[ 0.263  0.158  0.316  0.263  0.263  0.316  0.368  0.263]]
8	4	12	9	0.30357	[[ 0.333  0.048  0.095  0.571  0.333  0.524  0.286  0.238]]
8	4	11	7	0.17361	[[ 0.222  0.111  0.111  0.222  0.111  0.167  0.278  0.167]]
8	4	11	8	0.34211	[[ 0.368  0.158  0.368  0.526  0.526  0.368  0.211  0.211]]
8	4	12	8	0.36875	[[ 0.35  0.3   0.35  0.4   0.45  0.35  0.45  0.3 ]]
8	4	14	9	0.30435	[[ 0.348  0.087  0.304  0.391  0.391  0.435  0.261  0.217]]
8	4	12	8	0.31250	[[ 0.4   0.1   0.15  0.4   0.4   0.5   0.4   0.15]]
8	4	11	9	0.29375	[[ 0.35  0.15  0.2   0.35  0.45  0.4   0.2   0.25]]
8	4	13	7	0.30625	[[ 0.5   0.05  0.15  0.45  0.45  0.35  0.25  0.25]]
8	4	9	8	0.23529	[[ 0.235  0.118  0.176  0.294  0.235  0.412  0.294  0.118]]
8	4	10	7	0.19853	[[ 0.118  0.     0.118  0.412  0.235  0.353  0.294  0.059]]
8	4	9	8	0.19118	[[ 0.412  0.     0.176  0.294  0.235  0.059  0.176  0.176]]
8	4	11	8	0.34868	[[ 0.263  0.     0.526  0.368  0.474  0.263  0.421  0.474]]
8	4	10	8	0.18750	[[ 0.222  0.056  0.056  0.333  0.278  0.389  0.056  0.111]]
8	4	14	8	0.20455	[[ 0.227  0.     0.182  0.273  0.409  0.227  0.182  0.136]]
8	4	9	7	0.27344	[[ 0.25   0.     0.25   0.688  0.25   0.438  0.188  0.125]]
8	4	10	8	0.18750	[[ 0.167  0.056  0.111  0.444  0.333  0.111  0.222  0.056]]
8	4	10	7	0.25000	[[ 0.235  0.     0.059  0.471  0.235  0.588  0.176  0.235]]
8	4	9	8	0.30147	[[ 0.353  0.     0.412  0.176  0.353  0.471  0.353  0.294]]
8	4	12	7	0.25000	[[ 0.368  0.053  0.211  0.263  0.368  0.211  0.211  0.316]]
#try semicircular
8	4	26	18	0.35511	[[ 0.432  0.432  0.227  0.432  0.136  0.227  0.727  0.227]]
8	4	13	9	0.29545	[[ 0.409  0.136  0.455  0.227  0.364  0.227  0.364  0.182]]
8	4	11	16	0.30093	[[ 0.481  0.37   0.296  0.37   0.259  0.296  0.148  0.185]]
8	4	13	8	0.32738	[[ 0.143  0.333  0.143  0.429  0.429  0.619  0.095  0.429]]
8	4	15	15	0.22917	[[ 0.067  0.433  0.     0.3    0.5    0.233  0.033  0.267]]
8	4	14	9	0.28261	[[ 0.13   0.609  0.087  0.348  0.522  0.304  0.043  0.217]]
8	4	16	43	0.31144	[[ 0.22   0.729  0.136  0.153  0.593  0.254  0.186  0.22 ]]
8	4	12	10	0.21591	[[ 0.182  0.273  0.     0.227  0.591  0.136  0.136  0.182]]
8	4	16	12	0.38839	[[ 0.429  0.393  0.25   0.393  0.607  0.357  0.25   0.429]]
8	4	17	8	0.30000	[[ 0.36  0.28  0.12  0.16  0.52  0.4   0.12  0.44]]
8	4	10	9	0.24342	[[ 0.368  0.316  0.053  0.316  0.211  0.211  0.053  0.421]]
8	4	12	9	0.32738	[[ 0.381  0.238  0.143  0.476  0.381  0.381  0.143  0.476]]
8	4	12	9	0.28571	[[ 0.381  0.286  0.095  0.381  0.333  0.238  0.19   0.381]]
8	4	21	10	0.37500	[[ 0.452  0.387  0.129  0.355  0.71   0.355  0.129  0.484]]
8	4	11	11	0.28409	[[ 0.364  0.227  0.273  0.182  0.5    0.364  0.045  0.318]]
8	4	13	8	0.26190	[[ 0.238  0.238  0.048  0.19   0.667  0.19   0.095  0.429]]
8	4	16	24	0.27813	[[ 0.175  0.1    0.125  0.3    0.675  0.15   0.15   0.55 ]]
8	4	12	46	0.24569	[[ 0.138  0.19   0.207  0.172  0.776  0.121  0.138  0.224]]
8	4	10	8	0.25000	[[ 0.111  0.111  0.333  0.333  0.389  0.278  0.167  0.278]]
8	4	9	9	0.26389	[[ 0.222  0.222  0.222  0.222  0.5    0.389  0.056  0.278]]
8	4	13	10	0.26630	[[ 0.174  0.304  0.087  0.304  0.478  0.435  0.     0.348]]
8	4	15	8	0.30435	[[ 0.348  0.217  0.261  0.565  0.478  0.174  0.087  0.304]]
8	4	9	9	0.31250	[[ 0.222  0.278  0.222  0.333  0.556  0.444  0.056  0.389]]
8	4	14	10	0.26042	[[ 0.25   0.208  0.25   0.208  0.583  0.083  0.167  0.333]]
8	4	11	15	0.34615	[[ 0.154  0.385  0.192  0.308  0.538  0.423  0.308  0.462]]
8	4	12	12	0.23438	[[ 0.125  0.292  0.125  0.208  0.5    0.208  0.167  0.25 ]]
8	4	11	9	0.31250	[[ 0.1   0.5   0.25  0.25  0.7   0.1   0.3   0.3 ]]
8	4	14	48	0.28831	[[ 0.21   0.306  0.323  0.226  0.855  0.081  0.065  0.242]]
8	4	14	16	0.23333	[[ 0.2    0.3    0.133  0.1    0.6    0.267  0.1    0.167]]
8	4	20	7	0.37500	[[ 0.333  0.444  0.296  0.296  0.704  0.296  0.333  0.296]]
8	4	14	9	0.35326	[[ 0.261  0.435  0.391  0.174  0.565  0.304  0.261  0.435]]
8	4	16	12	0.29018	[[ 0.321  0.25   0.179  0.393  0.643  0.286  0.107  0.143]]
8	4	9	7	0.27344	[[ 0.312  0.375  0.188  0.188  0.625  0.312  0.125  0.062]]
8	4	12	23	0.34286	[[ 0.114  0.8    0.2    0.371  0.543  0.229  0.2    0.286]]
8	4	10	10	0.32500	[[ 0.2   0.4   0.35  0.2   0.45  0.3   0.25  0.45]]
8	4	11	10	0.30952	[[ 0.286  0.143  0.381  0.333  0.381  0.476  0.143  0.333]]
8	4	11	15	0.30288	[[ 0.308  0.308  0.308  0.385  0.385  0.385  0.154  0.192]]
8	4	30	27	0.39474	[[ 0.474  0.579  0.263  0.298  0.86   0.228  0.158  0.298]]
8	4	13	8	0.35714	[[ 0.286  0.238  0.333  0.333  0.429  0.333  0.476  0.429]]
8	4	16	7	0.27717	[[ 0.348  0.391  0.217  0.174  0.478  0.217  0.087  0.304]]
