Index Coding (Basic Antidotes) Log File
2012/29/11 16:02:29

N	PIECES	numTDMA	numIndex	epsIndex
8	4	12	5	0.29412	[[ 0.118  0.059  0.176  0.059  0.412  0.471  0.529  0.529]]
8	4	9	4	0.20192	[[ 0.231  0.308  0.154  0.077  0.154  0.231  0.231  0.231]]
8	4	9	5	0.18750	[[ 0.071  0.143  0.143  0.143  0.071  0.429  0.214  0.286]]
8	4	14	5	0.32895	[[ 0.263  0.158  0.263  0.211  0.105  0.421  0.632  0.579]]
8	4	14	4	0.31250	[[ 0.222  0.111  0.389  0.333  0.222  0.278  0.5    0.444]]
8	4	10	6	0.26562	[[ 0.125  0.438  0.188  0.     0.25   0.25   0.375  0.5  ]]
8	4	11	5	0.23438	[[ 0.312  0.375  0.125  0.062  0.125  0.312  0.312  0.25 ]]
8	4	10	6	0.25000	[[ 0.25   0.188  0.25   0.125  0.25   0.312  0.25   0.375]]
8	4	12	5	0.26471	[[ 0.235  0.353  0.176  0.059  0.235  0.353  0.294  0.412]]
8	4	12	5	0.25735	[[ 0.176  0.294  0.235  0.     0.176  0.294  0.471  0.412]]
8	4	12	6	0.29861	[[ 0.222  0.333  0.333  0.167  0.222  0.333  0.389  0.389]]
8	4	9	4	0.27885	[[ 0.308  0.308  0.077  0.385  0.154  0.231  0.385  0.385]]
8	4	8	18	0.19231	[[ 0.077  0.308  0.115  0.077  0.077  0.231  0.308  0.346]]
8	4	12	11	0.32065	[[ 0.261  0.304  0.217  0.261  0.261  0.304  0.435  0.522]]
8	4	11	6	0.19118	[[ 0.059  0.     0.235  0.     0.059  0.294  0.353  0.529]]
8	4	10	4	0.37500	[[ 0.357  0.357  0.571  0.214  0.214  0.429  0.429  0.429]]
8	4	11	6	0.19853	[[ 0.176  0.176  0.294  0.059  0.176  0.118  0.176  0.412]]
8	4	9	5	0.25893	[[ 0.071  0.357  0.357  0.143  0.071  0.286  0.214  0.571]]
8	4	11	7	0.28472	[[ 0.222  0.111  0.333  0.056  0.278  0.222  0.5    0.556]]
8	4	9	5	0.34821	[[ 0.286  0.214  0.5    0.357  0.214  0.286  0.429  0.5  ]]
8	4	10	5	0.23333	[[ 0.267  0.2    0.267  0.2    0.2    0.133  0.2    0.4  ]]
8	4	11	5	0.27344	[[ 0.25   0.188  0.312  0.062  0.062  0.25   0.312  0.75 ]]
8	4	12	4	0.28125	[[ 0.062  0.375  0.375  0.125  0.188  0.312  0.375  0.438]]
#random coefficients??
8	4	11	9	0.30625	[[ 0.1   0.5   0.1   0.3   0.2   0.45  0.5   0.3 ]]
8	4	8	6	0.19643	[[ 0.071  0.357  0.     0.214  0.143  0.5    0.214  0.071]]
8	4	17	9	0.27885	[[ 0.192  0.385  0.192  0.308  0.154  0.462  0.231  0.308]]
